Close,High,Open,Low,Volume
1733.150024,1733.449951,1720.170044,1714.119995,3453590000
1744.5,1745.310059,1736.719971,1735.73999,3664890000
1744.660034,1747.790039,1745.199951,1740.670044,3052710000
1754.670044,1759.329956,1746.47998,1746.47998,3850840000
1746.380005,1752.27002,1752.27002,1740.5,3713380000
1752.069946,1753.939941,1747.47998,1745.5,3671700000
1759.77002,1759.819946,1756.01001,1752.449951,3175720000
1762.109985,1764.98999,1759.420044,1757.670044,3282300000
1771.949951,1772.089966,1762.930054,1762.930054,3358460000
1763.310059,1775.219971,1772.27002,1757.23999,3523040000
1756.540039,1768.530029,1763.23999,1755.719971,3826530000
1761.640015,1765.670044,1758.699951,1752.699951,3686290000
1767.930054,1768.780029,1763.400024,1761.560059,3194870000
1762.969971,1767.030029,1765.670044,1755.76001,3516680000
1770.48999,1773.73999,1765,1764.400024,3322100000
1747.150024,1774.540039,1770.73999,1746.199951,4143200000
1770.609985,1770.780029,1748.369995,1747.630005,3837170000
1771.890015,1773.439941,1769.959961,1767.849976,2534060000
1767.689941,1771.780029,1769.51001,1762.290039,3221030000
1782,1782,1764.369995,1760.640015,3327480000
1790.619995,1791.530029,1782.75,1780.219971,3139060000
1798.180054,1798.219971,1790.660034,1790.660034,3254820000
1791.530029,1802.329956,1798.819946,1788,3168520000
1787.869995,1795.51001,1790.790039,1784.719971,3224450000
1781.369995,1795.72998,1789.589966,1777.22998,3109140000
1795.849976,1797.160034,1783.52002,1783.52002,3256630000
1804.76001,1804.839966,1797.209961,1794.699951,3055140000
1802.47998,1808.099976,1806.329956,1800.579956,2998540000
1802.75,1808.420044,1802.869995,1800.77002,3427120000
1807.22998,1808.27002,1803.47998,1802.77002,2613590000
1805.810059,1813.550049,1808.689941,1803.97998,1598300000
1800.900024,1810.02002,1806.550049,1798.599976,3095430000
1795.150024,1800.099976,1800.099976,1787.849976,3475680000
1792.810059,1799.800049,1793.150024,1779.089966,3610540000
1785.030029,1792.819946,1792.819946,1783.380005,3336880000
1805.089966,1806.040039,1788.359985,1788.359985,3150030000
1808.369995,1811.52002,1806.209961,1806.209961,3129500000
1802.619995,1808.52002,1807.599976,1801.75,3117150000
1782.219971,1802.969971,1802.76001,1780.089966,3472240000
1775.5,1782.98999,1781.709961,1772.280029,3306640000
1775.319946,1780.920044,1777.97998,1772.449951,3061070000
1786.540039,1792.219971,1777.47998,1777.47998,3209890000
1781,1786.77002,1786.469971,1777.050049,3270030000
1810.650024,1811.079956,1781.459961,1767.98999,4327770000
1809.599976,1810.880005,1809,1801.349976,3497210000
1818.319946,1823.75,1810.390015,1810.25,5097700000
1827.98999,1829.75,1822.920044,1822.920044,2851540000
1833.319946,1833.319946,1828.02002,1828.02002,1307630000
1842.02002,1842.839966,1834.959961,1834.959961,1982270000
1841.400024,1844.890015,1842.969971,1839.810059,2052920000
1841.069946,1842.469971,1841.469971,1838.77002,2293860000
1848.359985,1849.439941,1842.609985,1842.410034,2312840000
1831.97998,1845.859985,1845.859985,1827.73999,3080600000
1831.369995,1838.23999,1833.209961,1829.130005,2774270000
1826.77002,1837.160034,1832.310059,1823.72998,3294850000
1837.880005,1840.099976,1828.709961,1828.709961,3511750000
1837.48999,1840.02002,1837.900024,1831.400024,3652140000
1838.130005,1843.22998,1839,1830.380005,3581150000
1842.369995,1843.150024,1840.060059,1832.430054,3335710000
1819.199951,1843.449951,1841.26001,1815.52002,3591350000
1838.880005,1839.26001,1821.359985,1821.359985,3353270000
1848.380005,1850.839966,1840.52002,1840.52002,3777800000
1845.890015,1847.98999,1847.98999,1840.300049,3491310000
1838.699951,1846.040039,1844.22998,1835.22998,3626120000
1843.800049,1849.310059,1841.050049,1832.380005,3782470000
1844.859985,1846.869995,1844.709961,1840.880005,3374170000
1828.459961,1842.290039,1842.290039,1820.060059,3972250000
1790.290039,1826.959961,1826.959961,1790.290039,4618450000
1781.560059,1795.97998,1791.030029,1772.880005,4045200000
1792.5,1793.869995,1783,1779.48999,3437830000
1774.199951,1790.150024,1790.150024,1770.449951,3964020000
1794.189941,1798.77002,1777.170044,1777.170044,3547510000
1782.589966,1793.880005,1790.880005,1772.26001,4059690000
1741.890015,1784.829956,1782.680054,1739.660034,4726040000
1755.199951,1758.72998,1743.819946,1743.819946,4068410000
1751.640015,1755.790039,1753.380005,1737.920044,3984290000
1773.430054,1774.060059,1752.98999,1752.98999,3825410000
1797.02002,1798.030029,1776.01001,1776.01001,3775990000
1799.839966,1799.939941,1796.199951,1791.829956,3312160000
1819.75,1823.540039,1800.449951,1800.410034,3699380000
1819.26001,1826.550049,1820.119995,1815.969971,3326380000
1829.829956,1830.25,1814.819946,1809.219971,3289510000
1838.630005,1841.650024,1828.459961,1825.589966,3114750000
1840.76001,1842.869995,1839.030029,1835.01001,3421110000
1828.75,1847.5,1838.900024,1826.98999,3661570000
1839.780029,1842.790039,1829.23999,1824.579956,3404980000
1836.25,1846.130005,1841.069946,1835.599976,3403880000
1847.609985,1858.709961,1836.780029,1836.780029,4014530000
1845.119995,1852.910034,1847.660034,1840.189941,3515560000
1845.160034,1852.650024,1845.790039,1840.660034,3716730000
1854.290039,1854.530029,1844.900024,1841.130005,3547460000
1859.449951,1867.920044,1855.119995,1847.670044,3917450000
1845.72998,1857.680054,1857.680054,1834.439941,3428220000
1873.910034,1876.22998,1849.22998,1849.22998,3765770000
1873.810059,1876.530029,1874.050049,1871.109985,3392990000
1877.030029,1881.939941,1874.180054,1874.180054,3360450000
1878.040039,1883.569946,1878.52002,1870.560059,3564740000
1877.170044,1877.869995,1877.859985,1867.040039,3021350000
1867.630005,1882.349976,1878.26001,1863.880005,3392400000
1868.199951,1868.380005,1866.150024,1854.380005,3270860000
1846.339966,1874.400024,1869.060059,1841.859985,3670990000
1841.130005,1852.439941,1845.069946,1839.569946,3285460000
1858.829956,1862.300049,1842.810059,1842.810059,2860490000
1872.25,1873.76001,1858.920044,1858.920044,2930190000
1860.77002,1874.140015,1872.25,1850.349976,3289210000
1872.01001,1873.48999,1860.089966,1854.630005,3327540000
1866.52002,1883.969971,1874.530029,1863.459961,5270710000
1857.439941,1873.339966,1867.670044,1849.689941,3409000000
1865.619995,1871.869995,1859.47998,1855.959961,3200560000
1852.560059,1875.920044,1867.089966,1852.560059,3480850000
1849.040039,1855.550049,1852.109985,1842.109985,3733430000
1857.619995,1866.630005,1850.069946,1850.069946,2955520000
1872.339966,1875.180054,1859.160034,1859.160034,3274300000
1885.52002,1885.839966,1873.959961,1873.959961,3336190000
1890.900024,1893.170044,1886.609985,1883.790039,3131660000
1888.77002,1893.800049,1891.430054,1882.650024,3055600000
1865.089966,1897.280029,1890.25,1863.26001,3583750000
1845.040039,1864.040039,1863.920044,1841.47998,3801540000
1851.959961,1854.949951,1845.47998,1837.48999,3721450000
1872.180054,1872.430054,1852.640015,1852.380005,3308650000
1833.079956,1872.530029,1872.280029,1830.869995,3758780000
1815.689941,1835.069946,1830.650024,1814.359985,3743460000
1830.609985,1834.189941,1818.180054,1815.800049,3111540000
1842.97998,1844.02002,1831.449951,1816.290039,3736440000
1862.310059,1862.310059,1846.01001,1846.01001,3155080000
1864.849976,1869.630005,1861.72998,1856.719971,3341430000
1871.890015,1871.890015,1865.790039,1863.180054,2642500000
1879.550049,1884.890015,1872.569946,1872.569946,3215440000
1875.390015,1879.75,1879.319946,1873.910034,3085720000
1878.609985,1884.060059,1881.969971,1870.23999,3191830000
1863.400024,1877.719971,1877.719971,1859.699951,3213020000
1869.430054,1877.01001,1865,1850.609985,4034680000
1878.329956,1880.599976,1870.780029,1870.780029,3647820000
1883.949951,1885.199951,1877.099976,1872.689941,3779230000
1883.680054,1888.589966,1884.390015,1878.040039,3416740000
1881.140015,1891.329956,1885.300049,1878.5,3159560000
1884.660034,1885.51001,1879.449951,1866.77002,2733730000
1867.719971,1883.689941,1883.689941,1867.719971,3327260000
1878.209961,1878.829956,1868.530029,1859.790039,3632950000
1875.630005,1889.069946,1877.390015,1870.050049,3393420000
1878.47998,1878.569946,1875.27002,1867.02002,3025020000
1896.650024,1897.130005,1880.030029,1880.030029,3005740000
1897.449951,1902.170044,1896.75,1896.060059,2915680000
1888.530029,1897.130005,1897.130005,1885.77002,2822060000
1870.849976,1888.160034,1888.160034,1862.359985,3552640000
1877.859985,1878.280029,1871.189941,1864.819946,3173650000
1885.079956,1886,1876.660034,1872.420044,2664250000
1872.829956,1884.880005,1884.880005,1868.140015,3007700000
1888.030029,1888.800049,1873.339966,1873.339966,2777140000
1892.48999,1896.329956,1888.189941,1885.390015,2759800000
1900.530029,1901.26001,1893.319946,1893.319946,2396280000
1911.910034,1912.280029,1902.01001,1902.01001,2911020000
1909.780029,1914.459961,1911.77002,1907.300049,2976450000
1920.030029,1920.030029,1910.599976,1909.819946,2709050000
1923.569946,1924.030029,1920.329956,1916.640015,3263490000
1924.969971,1925.880005,1923.869995,1915.97998,2509020000
1924.23999,1925.069946,1923.069946,1918.790039,2867180000
1927.880005,1928.630005,1923.060059,1918.599976,2793920000
1940.459961,1941.73999,1928.52002,1922.930054,3113270000
1949.439941,1949.439941,1942.410034,1942.410034,2864300000
1951.27002,1955.550049,1948.969971,1947.160034,2812180000
1950.790039,1950.859985,1950.339966,1944.640015,2702360000
